Type, Location, Status, Num
其他交通,不限,不限,3795
其他交通,不限,正在进行,5
其他交通,不限,即将开始,26
其他交通,不限,已结束,3525
其他交通,不限,中止,60
其他交通,不限,撤回,179
其他交通,北京,不限,2
其他交通,北京,正在进行,0
其他交通,北京,即将开始,0
其他交通,北京,已结束,2
其他交通,北京,中止,0
其他交通,北京,撤回,0
其他交通,天津,不限,26
其他交通,天津,正在进行,0
其他交通,天津,即将开始,0
其他交通,天津,已结束,23
其他交通,天津,中止,0
其他交通,天津,撤回,3
其他交通,河北,不限,131
其他交通,河北,正在进行,0
其他交通,河北,即将开始,3
其他交通,河北,已结束,110
其他交通,河北,中止,5
其他交通,河北,撤回,13
其他交通,山西,不限,24
其他交通,山西,正在进行,0
其他交通,山西,即将开始,0
其他交通,山西,已结束,22
其他交通,山西,中止,1
其他交通,山西,撤回,1
其他交通,内蒙古,不限,168
其他交通,内蒙古,正在进行,0
其他交通,内蒙古,即将开始,1
其他交通,内蒙古,已结束,158
其他交通,内蒙古,中止,1
其他交通,内蒙古,撤回,8
其他交通,辽宁,不限,43
其他交通,辽宁,正在进行,0
其他交通,辽宁,即将开始,0
其他交通,辽宁,已结束,29
其他交通,辽宁,中止,0
其他交通,辽宁,撤回,14
其他交通,吉林,不限,61
其他交通,吉林,正在进行,0
其他交通,吉林,即将开始,1
其他交通,吉林,已结束,56
其他交通,吉林,中止,1
其他交通,吉林,撤回,3
其他交通,黑龙江,不限,77
其他交通,黑龙江,正在进行,0
其他交通,黑龙江,即将开始,1
其他交通,黑龙江,已结束,71
其他交通,黑龙江,中止,1
其他交通,黑龙江,撤回,4
其他交通,上海,不限,5
其他交通,上海,正在进行,0
其他交通,上海,即将开始,0
其他交通,上海,已结束,5
其他交通,上海,中止,0
其他交通,上海,撤回,0
其他交通,江苏,不限,365
其他交通,江苏,正在进行,1
其他交通,江苏,即将开始,0
其他交通,江苏,已结束,307
其他交通,江苏,中止,13
其他交通,江苏,撤回,44
其他交通,浙江,不限,487
其他交通,浙江,正在进行,0
其他交通,浙江,即将开始,6
其他交通,浙江,已结束,470
其他交通,浙江,中止,2
其他交通,浙江,撤回,9
其他交通,安徽,不限,41
其他交通,安徽,正在进行,0
其他交通,安徽,即将开始,1
其他交通,安徽,已结束,39
其他交通,安徽,中止,0
其他交通,安徽,撤回,1
其他交通,福建,不限,80
其他交通,福建,正在进行,0
其他交通,福建,即将开始,1
其他交通,福建,已结束,78
其他交通,福建,中止,0
其他交通,福建,撤回,1
其他交通,江西,不限,83
其他交通,江西,正在进行,0
其他交通,江西,即将开始,0
其他交通,江西,已结束,70
其他交通,江西,中止,2
其他交通,江西,撤回,11
